configName,signalCount,avgFwd126,winRate126,coveredValidationWindowCount,formal2022Q4,formal2026March,diagnostic2022Q4,diagnostic2026March
btm_dw42_dt18_r10_st14x3_m8x21x5_sma50_atr10_vol10_gap63_entry85_mbo0_rs126_wstructure_retest,11,1.08722202843142,0.9090909090909091,1,0,0,0,0
btm_dw63_dt18_r14_st21x5_m12x26x9_sma50_atr10_vol10_gap63_entry85_mbo0_rs126_wstructure_retest,4,0.09217612353428575,0.5,0,0,0,0,0
btm_dw126_dt18_r21_st9x3_m12x26x9_sma100_atr10_vol10_gap21_entry85_mbo0_rs126_wstructure_retest,1,1.3225090155265051,1.0,0,0,0,0,0
btm_dw252_dt18_r7_st14x3_m16x35x9_sma100_atr14_vol10_gap21_entry85_mbo0_rs126_wstructure_retest,4,0.09217612353428575,0.5,0,0,0,0,0
btm_dw21_dt25_r10_st21x5_m16x35x9_sma100_atr14_vol20_gap21_entry85_mbo0_rs126_wstructure_retest,7,0.18991094822060434,0.7142857142857143,0,0,0,0,0
btm_dw42_dt25_r14_st9x3_m8x21x5_sma150_atr14_vol20_gap21_entry88_mbo0_rs126_wmomentum_reset,1,1.3225090155265051,1.0,0,0,0,0,0
btm_dw63_dt25_r21_st14x3_m8x21x5_sma150_atr14_vol20_gap21_entry88_mbo0_rs126_wmomentum_reset,1,1.3225090155265051,1.0,0,0,0,0,0
btm_dw126_dt25_r7_st21x5_m12x26x9_sma150_atr20_vol20_gap21_entry88_mbo3_rs126_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw252_dt25_r10_st9x3_m12x26x9_sma200_atr20_vol20_gap21_entry88_mbo3_rs126_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw21_dt35_r14_st14x3_m16x35x9_sma200_atr20_vol50_gap42_entry88_mbo3_rs126_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw42_dt35_r21_st21x5_m16x35x9_sma200_atr20_vol50_gap42_entry88_mbo3_rs126_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
